target,features_1,features_2,features_3,features_4,features_5,features_6,features_7,features_8,features_9,features_10
0,-1.30783626549017,-0.447608348831997,-3.49659165704312,-1.31520993262439,-2.42585396311642,-0.199276437274876,-2.32512364767323,-0.641004186410572,-0.947066706182275,-0.132661572718231
1,-1.50664346664378,-0.615452970437125,-0.839171106134961,-0.786644730238494,-0.580152797989058,-0.132552279502081,-1.19877374616739,-0.0626391567832246,-0.78668734382433,-0.0257711045994794
0,-0.403499096005078,-0.280250367399447,-0.436362109970674,-0.612237784989862,-0.177745816783368,-0.403056848040057,-0.154138816438894,-0.150307523231538,-1.62056226719586,-0.471928660515764
0,-0.040766905853317,-0.259479708679736,-1.45569205168597,-2.76508433506946,-0.0519437916192798,-0.201063591856144,-0.36871270437205,-0.694310390577742,-0.848620004775188,-1.48342232188666
0,-1.15392573453126,-2.98777599102072,-1.97464335655561,-0.902460508434792,-0.987531066611498,-0.235500311411881,-1.94829092376856,-0.26841098890086,-0.269819833570501,-0.164764269331861
1,-1.7239680432745,-0.751070675092204,-0.311017955277709,-0.289750377866366,-3.12572635420371,-0.841533438282338,-4.01191357225717,-0.47471381478032,-0.0738840335658333,-1.75565255632732
1,-1.0026954078508,-1.12746735456686,-0.330031793470372,-1.32639958575765,-0.611179985501658,-0.449706545920008,-1.44157390353085,-1.07389457213271,-2.09806423824711,-1.20039905754931
1,-1.3270253759437,-3.93576825167151,-0.460680143303338,-0.394613446674615,-0.383389380146026,-0.708406485513413,-0.349666391274221,-0.410207565426384,-0.00907306402832588,-0.181166481298278
1,-1.02010969811926,-2.40544981194236,-0.45519246256907,-0.191674542707242,-1.00947675227547,-1.40130180194462,-0.193496124678321,-0.576105395958019,-0.0691596159431244,-2.29877629406766
0,-0.349694736791368,-0.918629772302326,-1.57365398009064,-0.155880139726756,-2.4005487697299,-0.34321897148768,-0.771980556411021,-0.986544025317699,-0.550257160156226,-3.87596112388413
1,-0.649175455896399,-0.229349488160929,-0.967128128572281,-0.191586738976458,-0.0209717129234741,-0.69245692631307,-1.94659894879873,-0.0381998585922727,-1.05947415649539,-0.367529706042421
0,-1.59768467426197,-0.983210694668863,-0.817645499474854,-4.48194754982822,-4.54740990856192,-0.926032918033574,-0.522847669475495,-0.717603966134557,-1.39547012576925,-0.55946775015462
1,-1.0977404188031,-0.536196663073032,-1.04427393164486,-0.998995101953618,-1.19109186675618,-0.46621526086776,-1.9528425622416,-0.00498175819018232,-0.263646700806564,-0.742488309820805
1,-2.35727559977309,-1.86033073681189,-0.425620887214623,-0.266935216582442,-2.30142339084767,-0.195379314613929,-1.80344525188833,-0.847132367413817,-1.3885438207748,-0.509055304836014
1,-1.86063507199947,-4.33657571570557,-0.00755542105926327,-0.442480533135607,-1.21658909464351,-0.32992139866819,-1.27300361365394,-0.231026946421599,-1.09967699400002,-0.191372872695055
1,-2.45419531700347,-0.728883270270221,-0.955464675748953,-0.679944179283271,-0.424115604047135,-0.519637137793919,-1.87981415038178,-0.0687578870722936,-0.244158758410697,-0.208783317026477
1,-1.19869710653005,-1.81702387070657,-0.187404443499952,-0.298671256904872,-0.633039434430061,-0.41085081589016,-0.934741447066288,-0.00252414362591857,-0.399971582877616,-1.25551117241808
0,-1.61051324591143,-0.152111398104922,-1.78430043960408,-0.160614733382814,-1.3396875597162,-0.667759355941794,-1.46231342248781,-0.481802342167919,-0.238356708764147,-0.29633747416473
1,-1.19885494815131,-0.0500580229222822,-0.12703369907571,-0.65590885191901,-0.242861478050735,-1.29151785049876,-0.877163780390674,-1.35576277325252,-0.413141818624704,-0.528053990136141
0,-1.06688162332963,-1.07583678729193,-1.58025025241946,-1.44403677903177,-0.338841987078291,-0.300587206517551,-1.20922371428573,-0.307708975762516,-1.04778171977137,-1.162955735653
0,-2.00654341077637,-0.155916483559397,-0.545256529141274,-1.07058649392846,-0.359909285301137,-0.0953816983676277,-1.2277324964884,-2.33345946116594,-1.09320765875888,-2.09778562502968
0,-0.654268353477437,-0.189846238016321,-1.39907626216237,-0.894679834857198,-1.02805468851276,-1.20075395294937,-1.03459767825573,-1.02049834005152,-0.2838295618622,-0.340249232891579
1,-0.487113292201592,-2.44144016665223,-0.263978955488871,-0.190826589221789,-0.165520596920444,-0.028030427036592,-0.130162944277922,-0.40125824702091,-1.00649985510116,-0.800083842902354
1,-1.68308024131224,-0.793168568414399,-0.570012608687328,-0.389587306814717,-0.287872907868973,-0.711559039717744,-0.262983158567305,-0.0687750520548064,-0.117048065105122,-0.552660587280188
1,-0.121246200706053,-0.432132113330116,-0.617916714571126,-0.238531583293133,-0.00780360014681839,-0.81441161132623,-0.621787830528236,-0.0707912175431771,-0.252368800063174,-1.19525883526108
1,-2.69917700774532,-0.442429457703191,-0.00236265862957738,-0.665248389297298,-0.209517570133528,-1.28457171532877,-2.83931072015467,-0.516237994464578,-0.636587435259883,-2.84593362516556
1,-1.00703506350753,-0.30669972839451,-1.3187401225354,-0.969104243698348,-0.13518309731751,-1.63135479815919,-2.87892144314155,-0.238395708358153,-0.902708883008952,-0.600735041144551
1,-2.51906631675549,-0.357623674940869,-0.842828681690362,-0.786651959052336,-0.679292104259333,-1.76028986249147,-3.6152646235079,-1.01422474218494,-0.639415412763921,-0.911768475234743
0,-0.89839598175623,-0.299669036590619,-0.00241150353875708,-0.482078927535918,-2.01942078368181,-0.167135858234807,-0.00117661127106517,-0.186159278788946,-6.10929730103633e-05,-0.0888481238174401
0,-2.61844278893581,-1.13077881179693,-1.56399840942157,-2.41178710763341,-0.936583055627914,-0.0696422407517441,-0.159584836216378,-0.0511558064261907,-0.585945432517527,-0.21844749826392
0,-1.18674345326548,-0.467268146040068,-0.323031105089949,-0.580444670394868,-1.35331354190119,-0.405337834812638,-0.544475813114944,-0.529629625626553,-2.59145330014833,-0.181328162447815
1,-1.65356849970355,-4.54217886980213,-1.80097467335477,-0.250243749399093,-1.34977282145016,-0.200307902372051,-1.61664598581882,-0.974078080653031,-0.0323492000672792,-1.64145878663806
1,-2.34413920532834,-2.30547404396727,-0.144621065159381,-0.937689532170067,-0.398467041496518,-0.0743177170205865,-2.05666351847148,-1.06864023627376,-0.309459635424584,-1.79943326536209
0,-3.23237432739413,-0.168577323909831,-0.575744057869497,-0.0780924764722488,-1.38730090193337,-5.0460461630197,-0.477200978083885,-0.22671158750227,-1.61929108579537,-2.28785116932733
1,-0.334162947906517,-1.28010690742339,-0.232777218531319,-0.259051603537626,-1.56650159873905,-0.542472504638257,-0.0330283551054141,-0.0754978586218899,-0.00299979529735786,-0.321351150724725
0,-0.0228968372091206,-0.356474013037241,-0.713601022795462,-0.69618855172932,-0.822093725458053,-0.428360016212131,-2.41458579223619,-0.0193501652349101,-0.393033754330909,-0.00523800597328045
0,-0.00973885300981414,-0.0435882360336724,-0.465001266931235,-0.614735826063157,-0.770117365231843,-0.253062839326026,-0.99664647250616,-0.608526213434456,-0.461791232485035,-0.291418435434423
1,-1.29126564186296,-1.74616722575759,-0.0969634173748364,-0.962192749050457,-0.465392992372242,-2.20295772584035,-0.910544718145902,-0.513388267919918,-1.68731366802345,-1.48037478889191
0,-0.805116659329899,-1.77770746007253,-4.8931479631255,-0.602201517892884,-1.68857561129669,-2.45190282322001,-3.85405763051828,-1.62150187203672,-2.47520618678538,-0.361243418525486
0,-1.0815198877887,-1.20128334567967,-2.50248945842456,-0.227069845948378,-0.538408560555255,-0.379312722141482,-0.340390567572202,-0.0680856094879143,-2.95339702296481,-1.88176316107437
0,-0.623849451215909,-0.399360059390889,-0.43371748444534,-0.938921221848851,-0.752363931238433,-0.800240921539819,-1.28622349629281,-0.744885948954266,-1.16075270439021,-2.60999177228819
0,-1.68218635611225,-0.952296824400028,-1.35069261942552,-0.479249693221954,-0.0816958312454425,-0.42126750150658,-0.0301191843388207,-1.17095166180616,-1.5435550472754,-0.167583464654199
1,-3.30784343528652,-2.05117515002282,-0.813166499152416,-0.0415638473038155,-0.956644189077215,-1.6747269629169,-1.08382887125654,-0.0118872898158643,-0.370907907736258,-1.58336232827191
0,-0.770166951855951,-2.81048727672518,-2.81208634796781,-0.187973950866577,-0.774140568316101,-3.27490907382252,-0.436632941178634,-0.270536152786678,-1.1217779335784,-0.462754632899704
1,-2.09328190893254,-1.14986198725388,-1.43892043513357,-0.257091645482795,-1.89823416488014,-0.224574144211552,-1.58346105992557,-0.278147067379668,-0.0436865514660407,-0.124562467118641
0,-3.78741968042399,-1.09244049849708,-1.0413806612509,-2.00015205147798,-2.4123138500937,-0.108752856443741,-1.10088196875015,-2.03675462449337,-0.0630944970792638,-0.531519719619645
0,-0.0123335571643701,-0.964275965205647,-1.1933367676866,-0.926797343505743,-0.430733727085923,-0.0623951005078599,-1.87258518031548,-0.443787662732001,-0.537084720593859,-0.223269967165244
0,-0.892146562313219,-0.941809617524844,-1.77974491926862,-0.514412061313966,-1.07006721148933,-2.94660260349874,-0.565063335575688,-0.408562417153903,-1.09723598000708,-2.87145978427288
0,-0.505025940311824,-1.92443103984816,-1.34215203014931,-0.85977884836015,-0.325585787254785,-2.24027568110613,-0.0756113698388723,-2.07277035376103,-0.136211200074241,-0.220793078482449
0,-0.154254014768254,-0.302507430734634,-2.06407442547416,-2.74951861801737,-1.40193461789718,-3.06350113441844,-1.20685007016604,-1.15858837101988,-2.38150568900557,-0.0260880747555162
1,-3.87524180058455,-4.68214640295954,-0.108119508273569,-3.15162462491934,-0.0252468250358437,-0.575401253905908,-0.328033559392224,-1.11676333798132,-0.262014704780371,-0.245352670704363
0,-0.353592588075658,-0.545046623860704,-1.81457870343163,-0.147092637202628,-0.727272728817544,-1.51768420640964,-1.45621689830202,-0.358082044781433,-1.5647686505237,-2.85406769762423
0,-0.380187851668129,-0.275885618632375,-0.0354223941061158,-1.49822910814559,-0.166352624690957,-0.0799578990307711,-0.631009137248212,-1.64012280873547,-0.895241018028687,-0.766048473206831
1,-0.533412825153654,-1.55531171539199,-1.04782633946819,-0.0158382289943645,-0.922847213959035,-2.71832083658208,-0.160986387602804,-0.117147482330731,-1.41991635112052,-1.07863037399388
0,-0.732378143515403,-0.751138773074004,-2.62245341333705,-3.86134813826716,-0.794396490636403,-3.29962395372261,-0.557609091293032,-0.0876977782586752,-0.425007475709656,-0.434623150700209
0,-1.12512786214021,-0.517385292562389,-1.33128542207845,-0.447328553741362,-0.272829896940552,-0.656764820126874,-1.91972779057173,-0.986271170644555,-1.62803970908346,-0.444046443935553
1,-0.295174243129656,-1.22060868351071,-0.165252417549158,-0.632165811316732,-0.330528334844158,-0.132083957903365,-1.67137645450134,-0.610245626522724,-1.83778366298295,-0.445871714285441
1,-1.70416294354783,-0.783287308907913,-0.169930623458513,-1.50970860250819,-2.08268197190365,-1.33446397906658,-0.843045904936887,-0.3649849107725,-0.390263755190338,-1.15579671111879
0,-1.4049373274466,-0.457523138416255,-0.58089743690327,-0.397254165873571,-2.88230325398094,-2.27415479721875,-0.994862392459867,-0.118739283766871,-1.25923637479844,-1.51772178909731
1,-0.342302997686999,-1.64991459023424,-0.472832979420879,-1.38279855187921,-2.10087721017039,-0.769336781582935,-1.68890315825672,-0.382857944260813,-0.512567435217793,-1.51704967512806
0,-0.0330353627548507,-0.168886000863964,-0.360848375413715,-0.15191141905866,-2.37423027744875,-2.86124014406748,-0.556286117372612,-0.347233021739034,-1.14531318254233,-0.271994356211848
0,-0.939522667421757,-0.15897838587641,-2.67426303640782,-0.713647581972373,-0.781736118547105,-0.770962704279726,-0.147468620507127,-1.31581503307118,-0.454812798080736,-3.10846309743558
